Date,Start_Time,End_Time
11/19/2018,5:43 PM,5:45 PM
11/19/2018,5:47 PM,5:49 PM
11/19/2018,5:51 PM,5:53 PM
11/19/2018,5:55 PM,5:57 PM
11/19/2018,5:59 PM,6:01 PM
11/19/2018,6:03 PM,6:05 PM
11/19/2018,6:07 PM,6:09 PM
11/19/2018,6:11 PM,6:13 PM
11/19/2018,6:15 PM,6:17 PM
11/19/2018,6:19 PM,6:21 PM
11/19/2018,6:23 PM,6:25 PM
11/19/2018,6:27 PM,6:29 PM
11/19/2018,6:31 PM,6:33 PM
11/19/2018,6:35 PM,6:37 PM
11/19/2018,6:39 PM,6:41 PM
11/19/2018,6:43 PM,6:45 PM
11/19/2018,6:47 PM,6:49 PM
11/19/2018,6:51 PM,6:53 PM
11/19/2018,6:55 PM,6:57 PM
11/19/2018,6:59 PM,7:01 PM
11/19/2018,7:03 PM,7:05 PM
11/19/2018,7:07 PM,7:09 PM
11/19/2018,7:11 PM,7:13 PM
11/19/2018,7:15 PM,7:17 PM
11/19/2018,7:19 PM,7:21 PM
11/19/2018,7:23 PM,7:25 PM
11/19/2018,7:27 PM,7:29 PM
11/19/2018,7:31 PM,7:33 PM
11/19/2018,7:35 PM,7:37 PM
11/19/2018,7:39 PM,7:41 PM
11/19/2018,7:43 PM,7:45 PM
11/19/2018,7:47 PM,7:49 PM
11/19/2018,7:51 PM,7:53 PM
11/19/2018,7:55 PM,7:57 PM
11/19/2018,7:59 PM,8:01 PM
11/19/2018,8:03 PM,8:05 PM
11/19/2018,8:07 PM,8:09 PM
11/19/2018,8:11 PM,8:13 PM
11/19/2018,8:15 PM,8:17 PM
11/19/2018,8:19 PM,8:21 PM
11/19/2018,8:23 PM,8:25 PM
11/19/2018,8:27 PM,8:29 PM
11/19/2018,8:31 PM,8:33 PM
11/19/2018,8:35 PM,8:37 PM
11/19/2018,8:39 PM,8:41 PM
11/19/2018,8:43 PM,8:45 PM
11/19/2018,8:47 PM,8:49 PM
11/19/2018,8:51 PM,8:53 PM
11/19/2018,8:55 PM,8:57 PM
11/19/2018,8:59 PM,9:01 PM
11/19/2018,9:03 PM,9:05 PM
11/19/2018,9:07 PM,9:09 PM
11/19/2018,9:11 PM,9:13 PM
11/19/2018,9:15 PM,9:17 PM
11/19/2018,9:19 PM,9:21 PM
11/19/2018,9:23 PM,9:25 PM
11/19/2018,9:27 PM,9:29 PM
11/19/2018,9:31 PM,9:33 PM
11/19/2018,9:35 PM,9:37 PM
11/19/2018,9:39 PM,9:41 PM
11/19/2018,9:43 PM,9:45 PM
11/19/2018,9:47 PM,9:49 PM
11/19/2018,9:51 PM,9:53 PM
11/19/2018,9:55 PM,9:57 PM
11/19/2018,9:59 PM,10:01 PM
11/19/2018,10:03 PM,10:05 PM
11/19/2018,10:07 PM,10:09 PM
11/19/2018,10:11 PM,10:13 PM
11/19/2018,10:15 PM,10:17 PM
11/19/2018,10:19 PM,10:21 PM
11/19/2018,10:23 PM,10:25 PM
11/19/2018,10:27 PM,10:29 PM
11/19/2018,10:31 PM,10:33 PM
11/19/2018,10:35 PM,10:37 PM
11/19/2018,10:39 PM,10:41 PM
11/19/2018,10:43 PM,10:45 PM
11/19/2018,10:47 PM,10:49 PM
11/19/2018,10:51 PM,10:53 PM
11/19/2018,10:55 PM,10:57 PM
11/19/2018,10:59 PM,11:01 PM
11/19/2018,11:03 PM,11:05 PM
11/19/2018,11:07 PM,11:09 PM
11/19/2018,11:11 PM,11:13 PM
11/19/2018,11:15 PM,11:17 PM
11/19/2018,11:19 PM,11:21 PM
11/19/2018,11:23 PM,11:25 PM
11/19/2018,11:27 PM,11:29 PM
11/19/2018,11:31 PM,11:33 PM
11/19/2018,11:35 PM,11:37 PM
11/19/2018,11:39 PM,11:41 PM
11/19/2018,11:43 PM,11:45 PM
11/19/2018,11:47 PM,11:49 PM
11/19/2018,11:51 PM,11:53 PM
11/19/2018,11:55 PM,11:57 PM
11/19/2018,11:59 PM,12:01 AM
11/19/2018,12:03 AM,12:05 AM
11/19/2018,12:07 AM,12:09 AM
11/19/2018,12:11 AM,12:13 AM
11/19/2018,12:15 AM,12:17 AM
11/19/2018,12:19 AM,12:21 AM
11/19/2018,12:23 AM,12:25 AM
11/19/2018,12:27 AM,12:29 AM
11/19/2018,12:31 AM,12:33 AM
11/19/2018,12:35 AM,12:37 AM
11/19/2018,12:39 AM,12:41 AM
11/19/2018,12:43 AM,12:45 AM
11/19/2018,12:47 AM,12:49 AM
11/19/2018,12:51 AM,12:53 AM
11/19/2018,12:55 AM,12:57 AM
11/19/2018,12:59 AM,1:01 AM
11/19/2018,1:03 AM,1:05 AM
11/19/2018,1:07 AM,1:09 AM
11/19/2018,1:11 AM,1:13 AM
11/19/2018,1:15 AM,1:17 AM
11/19/2018,1:19 AM,1:21 AM
11/19/2018,1:23 AM,1:25 AM
11/19/2018,1:27 AM,1:29 AM
11/19/2018,1:31 AM,1:33 AM
11/19/2018,1:35 AM,1:37 AM
11/19/2018,1:39 AM,1:41 AM
11/19/2018,1:43 AM,1:45 AM
11/19/2018,1:47 AM,1:49 AM
